"Idade"	"AMERICAN_EXPERIENCE"	"AT2000_Suavizada_10_FEM"	"AT2000_Suavizada_10_MAS"	"AT.2000_FEMALE"	"AT.2000_MALE"	"AT.49_FEMALE"	"AT.49_MALE"	"AT.83_FEMALE_IAM"	"AT.83_MALE_IAM"	"BR.EMSmt.v.2010.f"	"BR.EMSmt.v.2010.m"	"BR.EMSsb.v.2010.f"	"BR.EMSsb.v.2010.m"	"CSG.60"	"CSO.41"	"CSO.58"	"CSO58.FEM.AGE_LAST"	"CSO58.FEM.AGE_NEAREST"	"CSO58.MAS.AGE_LAST"	"CSO58.MAS.AGE_NEAREST"	"CSO58_FEMALE"	"CSO58_MALE"	"CSO80"	"GAM.71_FEMALE"	"GAM.71_MALE"	"IBGE_2006"	"IBGE_2007"	"IBGE_2008"	"IBGE_2009"	"GRUPAL_AMERICANA"	"HUNTERS"
0	0.1547	0.001615	0.00208	0.001794	0.002311	0.00321	0.00404	0.001835	0.00269	0.00128	0.00274	0.00038	0.002	0.00832	0.02258	0.00708	0.003942	0.0062	0.00443	0.00708	0.00548	0.00633	0.00418	0.002219	0.003255	0.024891	0.024036	0.023295	0.022467	0.462	0.0071
1	0.06349	0.00068	0.000815	0.000755	0.000906	0.00136	0.00158	0.000778	0.001053	0.00046	0.00095	0.00038	0.00069	0.00207	0.00577	0.00176	0.00154	0.00167	0.00164	0.00176	0.00094	0.001	0.00107	0.00094	0.001274	0.002292	0.002182	0.002291	0.002152	0.449	0.00687
2	0.0355	0.000353	0.000454	0.000392	0.000504	0.000703	0.000887	0.000402	0.000591	0.00025	0.00048	2e-04	0.00035	0.00179	0.00414	0.00152	0.00138	0.00141	0.00149	0.00152	0.00067	0.00075	0.00099	0.000486	0.000715	0.001255	0.001198	0.001188	0.001132	0.436	0.00665
3	0.02391	0.000261	0.000367	0.00029	0.000408	0.000521	0.000715	0.000298	0.000476	0.00016	3e-04	0.00013	0.00022	0.00172	0.00338	0.00146	0.00132	0.00135	0.00143	0.00146	6e-04	0.00068	0.00098	0.00036	0.000576	0.000922	0.00088	0.000778	0.00075	0.423	0.00644
4	0.0177	0.000209	0.000321	0.000232	0.000357	0.000419	0.000627	0.00024	0.000417	0.00012	0.00022	1e-04	0.00016	0.00165	0.00299	0.0014	0.001265	0.00129	0.001375	0.0014	0.00053	0.00061	0.00095	0.00029	0.000505	0.000699	0.000659	0.000568	0.000552	0.41	0.00624
5	0.0136	0.000171	0.000291	0.000189	0.000324	0.000339	0.000566	0.000194	0.000377	1e-04	0.00018	8e-05	0.00013	0.00159	0.00276	0.00135	0.001215	0.00124	0.001325	0.00135	0.00047	0.00055	9e-04	0.000234	0.000456	0.000479	0.000469	0.000442	0.000432	0.397	0.00605
6	0.01137	0.000141	0.00027	0.000156	0.000301	0.000278	0.000526	0.00016	0.00035	9e-05	0.00016	7e-05	0.00012	0.00153	0.00261	0.0013	0.00117	0.00119	0.00128	0.0013	0.00041	0.00049	0.00086	0.000193	0.000424	0.000385	0.000372	0.00036	0.000354	0.384	0.00587
7	0.00975	0.000118	0.000257	0.000131	0.000286	0.000234	5e-04	0.000134	0.000333	9e-05	0.00015	7e-05	0.00011	0.00148	0.00247	0.00126	0.001135	0.00115	0.001245	0.00126	0.00036	0.00044	8e-04	0.000162	0.000403	0.000314	0.000301	0.000306	0.000302	0.371	0.0057
8	0.00863	0.000118	0.000294	0.000131	0.000328	0.000207	0.000487	0.000134	0.000352	9e-05	0.00015	8e-05	0.00011	0.00145	0.00231	0.00123	0.001115	0.00112	0.00122	0.00123	0.00032	4e-04	0.00076	0.000143	0.000392	0.000281	0.000269	0.000271	0.000268	0.358	0.00554
9	0.0079	0.000121	0.000325	0.000134	0.000362	0.000193	0.000482	0.000136	0.000368	0.00011	0.00016	9e-05	0.00012	0.00142	0.00212	0.00121	0.00111	0.00111	0.00121	0.00121	3e-04	0.00037	0.00074	0.000134	0.000389	0.000273	0.000261	0.000251	0.000248	0.345	0.00539
10	0.00749	0.000126	0.00035	0.00014	0.00039	0.000191	0.000483	0.000141	0.000382	0.00014	0.00018	0.00012	0.00013	0.00142	0.00197	0.00121	0.001115	0.00111	0.00122	0.00121	0.00029	0.00036	0.00073	0.000132	0.00039	0.000275	0.000262	0.000248	0.000244	0.332	0.00525
11	0.00752	0.000133	0.000371	0.000148	0.000413	0.000208	0.000492	0.000147	0.000394	0.00018	0.00021	0.00015	0.00015	0.00145	0.00191	0.00123	0.00113	0.00112	0.001245	0.00123	0.00029	0.00037	0.00077	0.000143	0.000397	0.000283	0.00027	0.000265	0.000256	0.319	0.00512
12	0.00754	0.000142	0.000388	0.000158	0.000431	0.000225	0.000502	0.000155	0.000405	0.00022	0.00026	0.00018	0.00019	0.00148	0.00192	0.00126	0.001155	0.00114	0.00129	0.00126	3e-04	0.00039	0.00085	0.000155	0.000405	0.000314	0.000307	0.000307	0.000292	0.306	0.005
13	0.00757	0.000152	0.000402	0.00017	0.000446	0.000242	0.000512	0.000165	0.000415	0.00026	0.00033	0.00022	0.00024	0.00155	0.00198	0.00132	0.00119	0.00117	0.001355	0.00132	0.00032	0.00044	0.00099	0.000167	0.000413	0.00043	0.000416	0.000387	0.00035	0.293	0.00489
14	0.0076	0.000164	0.000414	0.000183	0.000458	0.00026	0.000524	0.000175	0.000425	3e-04	0.00042	0.00025	0.00031	0.00163	0.00207	0.00139	0.001235	0.00121	0.001425	0.00139	0.00035	5e-04	0.00115	0.00018	0.000422	0.000557	0.000538	0.000524	0.000489	0.28	0.00479
15	0.00763	0.000177	0.000425	0.000197	0.00047	0.000278	0.000537	0.000188	0.000435	0.00033	0.00053	0.00027	0.00039	0.00172	0.00215	0.00146	0.00129	0.00126	0.0015	0.00146	0.00039	0.00056	0.00133	0.000193	0.000433	0.000781	0.000765	0.000743	0.000719	0.267	0.0047
16	0.00766	0.00019	0.000437	0.000212	0.000481	0.000296	0.000551	0.000201	0.000446	0.00035	0.00065	0.00029	0.00048	0.00181	0.00219	0.00154	0.001355	0.00132	0.00158	0.00154	0.00044	0.00063	0.00151	0.000205	0.000444	0.000963	0.000936	0.000917	0.000891	0.254	0.00462
17	0.00769	0.000204	0.000449	0.000228	0.000495	0.000315	0.000567	0.000214	0.000458	0.00037	0.00078	3e-04	0.00057	0.0019	0.00225	0.00162	0.001425	0.00139	0.001655	0.00162	5e-04	7e-04	0.00167	0.000218	0.000457	0.001133	0.001102	0.00108	0.001051	0.241	0.00455
18	0.00773	0.000219	0.000463	0.000244	0.00051	0.000334	0.000584	0.000229	0.000472	0.00037	9e-04	0.00031	0.00066	0.00199	0.0023	0.00169	0.0015	0.00146	0.001715	0.00169	0.00056	0.00076	0.00178	0.000231	0.000471	0.001278	0.001244	0.00122	0.001188	0.229	0.00448
19	0.00777	0.000234	0.00048	0.00026	0.000528	0.000354	0.000603	0.000244	0.000488	0.00037	0.00101	3e-04	0.00074	0.00203	0.00237	0.00174	0.00158	0.00154	0.001765	0.00174	0.00063	8e-04	0.00186	0.000245	0.000486	0.001403	0.001365	0.001341	0.001304	0.217	0.00441
20	0.0078	0.00025	0.000499	0.000277	0.000549	0.000376	0.000624	0.00026	0.000505	0.00037	0.0011	3e-04	8e-04	0.00209	0.00243	0.00179	0.001655	0.00162	0.00181	0.00179	7e-04	0.00084	0.0019	0.00026	0.000503	0.00153	0.001489	0.001465	0.001423	0.205	0.00435
21	0.00786	0.000265	0.000519	0.000294	0.000573	0.000398	0.000648	0.000276	0.000525	0.00036	0.00117	3e-04	0.00085	0.00214	0.00251	0.00183	0.001715	0.00169	0.001845	0.00183	0.00076	0.00087	0.00191	0.000275	0.000522	0.001657	0.00163	0.001588	0.001541	0.193	0.0043
22	0.00791	0.000281	0.000542	0.000312	0.000599	0.000421	0.000674	0.000293	0.000546	0.00036	0.00122	0.00029	0.00089	0.00218	0.00259	0.00186	0.001765	0.00174	0.001875	0.00186	8e-04	0.00089	0.00189	0.000292	0.000544	0.001756	0.001727	0.001682	0.001631	0.182	0.00424
23	0.00796	0.000298	0.000566	0.00033	0.000627	0.000446	0.000702	0.000311	0.00057	0.00035	0.00125	0.00029	0.00092	0.00221	0.00268	0.00189	0.00181	0.00179	0.0019	0.00189	0.00084	0.00091	0.00186	0.000309	0.000566	0.001817	0.001786	0.001738	0.001685	0.171	0.0042
24	0.00801	0.000314	0.000592	0.000349	0.000657	0.000473	0.000733	0.00033	0.000596	0.00035	0.00127	0.00029	0.00093	0.00224	0.00277	0.00191	0.001845	0.00183	0.00192	0.00191	0.00087	0.00092	0.00182	0.000327	0.000591	0.001852	0.001818	0.001767	0.001712	0.161	0.00415
25	0.00806	0.000331	0.000616	0.000367	0.000686	0.000501	0.000768	0.000349	0.000622	0.00035	0.00127	0.00029	0.00093	0.00226	0.00288	0.00193	0.001875	0.00186	0.001945	0.00193	0.00089	0.00093	0.00177	0.000347	0.000619	0.001877	0.00184	0.001786	0.001729	0.151	0.00412
26	0.00813	0.000347	0.000639	0.000385	0.000714	0.000531	0.000806	0.000368	0.00065	0.00036	0.00127	0.00029	0.00093	0.00228	0.00299	0.00196	0.0019	0.00189	0.001975	0.00196	0.00091	0.00095	0.00173	0.000368	0.00065	0.001907	0.001868	0.00181	0.001752	0.141	0.00409
27	0.0082	0.000362	0.000659	0.000403	0.000738	0.000563	0.000849	0.000387	0.000677	0.00037	0.00126	3e-04	0.00092	0.0023	0.00311	0.00199	0.00192	0.00191	0.00201	0.00199	0.00092	0.00097	0.00171	0.00039	0.000684	0.001945	0.001914	0.001843	0.001783	0.132	0.00407
28	0.00826	0.000376	0.000675	0.000419	0.000758	0.000598	0.000896	0.000405	0.000704	0.00039	0.00126	0.00032	0.00092	0.00233	0.00325	0.00203	0.001945	0.00193	0.002055	0.00203	0.00093	0.001	0.0017	0.000414	0.000722	0.001998	0.00196	0.001891	0.00183	0.123	0.00405
29	0.00834	0.000389	0.000687	0.000435	0.000774	0.000636	0.000947	0.000423	0.000731	0.00041	0.00125	0.00033	0.00091	0.00236	0.0034	0.00208	0.001975	0.00196	0.002105	0.00208	0.00095	0.00104	0.00171	0.00044	0.000763	0.002065	0.002027	0.001953	0.00189	0.114	0.00404
30	0.00843	0.000402	0.000694	0.00045	0.000784	0.000677	0.001004	0.000441	0.000759	0.00044	0.00126	0.00035	0.00092	0.0024	0.00356	0.00213	0.00201	0.00199	0.00216	0.00213	0.00097	0.00108	0.00173	0.000469	0.000809	0.002139	0.002085	0.002021	0.001956	0.106	0.00405
31	0.00851	0.000414	0.000699	0.000463	0.000789	0.000721	0.001067	0.00046	0.000786	0.00047	0.00127	0.00037	0.00093	0.00245	0.00373	0.00219	0.002055	0.00203	0.00222	0.00219	0.001	0.00113	0.00178	0.000499	0.00086	0.002219	0.002173	0.002093	0.002025	0.1	0.00406
32	0.00861	0.000425	7e-04	0.000476	0.000789	0.00077	0.001136	0.000479	0.000814	5e-04	0.00129	4e-04	0.00094	0.00251	0.00392	0.00225	0.002105	0.00208	0.002285	0.00225	0.00104	0.00118	0.00183	0.000533	0.000916	0.002305	0.00224	0.002174	0.002105	0.095	0.00408
33	0.00872	0.000436	0.000701	0.000488	0.00079	0.000822	0.001213	0.000499	0.000843	0.00054	0.00135	0.00042	0.00099	0.0026	0.00412	0.00232	0.00216	0.00213	0.00236	0.00232	0.00108	0.00124	0.00191	0.000569	0.000978	0.0024	0.002343	0.002267	0.002195	0.092	0.00411
34	0.00883	0.000449	0.000702	5e-04	0.000791	0.000879	0.001297	0.000521	0.000876	0.00057	0.00142	0.00045	0.00103	0.00271	0.00435	0.0024	0.00222	0.00219	0.002455	0.0024	0.00113	0.00131	0.002	0.000608	0.001046	0.002492	0.002437	0.002373	0.002298	0.09	0.00416
35	0.00895	0.000463	0.000704	0.000515	0.000792	0.000942	0.001391	0.000545	0.000917	0.00062	0.00149	0.00047	0.00109	0.00285	0.00459	0.00251	0.002285	0.00225	0.002575	0.00251	0.00118	0.00141	0.00211	0.000651	0.001122	0.002616	0.002568	0.002491	0.002412	0.089	0.00421
36	0.00909	0.000481	0.000719	0.000534	0.000794	0.00101	0.001494	0.000574	0.000968	0.00066	0.00157	0.00051	0.00115	0.00302	0.00486	0.00264	0.00236	0.00232	0.00272	0.00264	0.00124	0.00153	0.00224	0.000698	0.001204	0.002752	0.002686	0.002622	0.002541	0.088	0.00428
37	0.00923	0.000504	0.000749	0.000558	0.000823	0.001085	0.001607	0.000607	0.001032	0.00071	0.00166	0.00054	0.00121	0.00321	0.00515	0.0028	0.002455	0.0024	0.002905	0.0028	0.00131	0.00168	0.0024	0.00075	0.001295	0.002899	0.00285	0.00277	0.002687	0.088	0.00437
38	0.00941	0.000532	0.000796	0.00059	0.000872	0.001167	0.001733	0.000646	0.001114	0.00076	0.00176	0.00058	0.00128	0.00345	0.00546	0.00301	0.002575	0.00251	0.00313	0.00301	0.00141	0.00188	0.00258	0.000807	0.001397	0.003081	0.003006	0.002936	0.002851	0.087	0.00447
39	0.00959	0.000567	0.000864	0.00063	0.000945	0.001256	0.001872	0.000691	0.001216	0.00082	0.00186	0.00062	0.00136	0.00372	0.00581	0.00325	0.00272	0.00264	0.00339	0.00325	0.00153	0.0021	0.00279	0.000869	0.001509	0.003275	0.003202	0.003121	0.003035	0.086	0.00459
40	0.00979	0.000609	0.000953	0.000677	0.001043	0.001355	0.002025	0.000742	0.001341	0.00088	0.00198	0.00066	0.00144	0.00402	0.00618	0.00353	0.002905	0.0028	0.003685	0.00353	0.00168	0.00236	0.00302	0.000938	0.001633	0.003481	0.003419	0.003322	0.003235	0.085	0.00473
41	0.01001	0.000658	0.001065	0.000732	0.001168	0.001464	0.00222	0.000801	0.001492	0.00095	0.00211	0.00071	0.00153	0.00437	0.00659	0.00384	0.00313	0.00301	0.004005	0.00384	0.00188	0.00265	0.00329	0.001013	0.001789	0.00373	0.003631	0.003542	0.003453	0.085	0.00489
42	0.01025	0.000715	0.001201	0.000796	0.001322	0.001583	0.002481	0.000867	0.001673	0.00103	0.00225	0.00077	0.00164	0.00475	0.00703	0.00417	0.00339	0.00325	0.00435	0.00417	0.0021	0.00295	0.00356	0.001094	0.002	0.003986	0.003891	0.003785	0.003693	0.085	0.00508
43	0.01052	0.000781	0.001362	0.000868	0.001505	0.001715	0.002804	0.000942	0.001886	0.00111	0.0024	0.00083	0.00175	0.00518	0.00751	0.00453	0.003685	0.00353	0.004725	0.00453	0.00236	0.00328	0.00387	0.001186	0.00226	0.004268	0.004154	0.004054	0.003957	0.086	0.00528
44	0.01083	0.000855	0.001547	0.00095	0.001715	0.001859	0.003187	0.001026	0.002129	0.0012	0.00256	0.00089	0.00187	0.00564	0.00804	0.00492	0.004005	0.00384	0.005135	0.00492	0.00265	0.00364	0.00419	0.001286	0.002569	0.004573	0.004463	0.004348	0.004243	0.086	0.00552
45	0.01116	0.000939	0.001752	0.001043	0.001948	0.002019	0.003625	0.001122	0.002399	0.0013	0.00275	0.00096	0.002	0.00615	0.00861	0.00535	0.00435	0.00417	0.005589	0.00535	0.00295	0.00403	0.00455	0.001397	0.002922	0.004907	0.004778	0.004671	0.004558	0.087	0.00578
46	0.01156	0.001035	0.001974	0.001148	0.002198	0.002196	0.004116	0.001231	0.002693	0.0014	0.00295	0.00104	0.00215	0.0067	0.00923	0.00583	0.004725	0.00453	0.006094	0.00583	0.00328	0.00446	0.00492	0.001519	0.003318	0.005264	0.005127	0.005016	0.004894	0.088	0.00607
47	0.012	0.001141	0.002211	0.001267	0.002463	0.002391	0.004657	0.001356	0.003009	0.00152	0.00317	0.00112	0.00231	0.00731	0.00991	0.00636	0.005135	0.00492	0.006654	0.00636	0.00364	0.00494	0.00532	0.001654	0.003754	0.005629	0.005486	0.005371	0.005242	0.088	0.0064
48	0.01251	0.001261	0.00246	0.0014	0.00274	0.002606	0.005246	0.001499	0.003343	0.00164	0.00341	0.00121	0.00249	0.00798	0.01064	0.00695	0.005589	0.00535	0.007274	0.00695	0.00403	0.00547	0.00574	0.001802	0.004228	0.005997	0.005848	0.005731	0.005597	0.089	0.00676
49	0.01311	0.001393	0.002721	0.001548	0.003028	0.002845	0.00588	0.001657	0.003694	0.00178	0.00367	0.00131	0.00268	0.00872	0.01145	0.0076	0.006094	0.00583	0.007959	0.0076	0.00446	0.00606	0.00621	0.001967	0.00474	0.006378	0.006241	0.006105	0.005967	0.09	0.00715
50	0.01378	0.001538	0.002994	0.00171	0.00333	0.003109	0.006557	0.00183	0.004057	0.00193	0.00396	0.00142	0.0029	0.00952	0.01232	0.00832	0.006654	0.00636	0.008713	0.00832	0.00494	0.00671	0.00671	0.002151	0.005285	0.006781	0.006633	0.006501	0.006359	0.091	0.0076
51	0.01454	0.001695	0.003279	0.001888	0.003647	0.003361	0.007277	0.002016	0.004431	0.00209	0.00427	0.00155	0.00313	0.0104	0.01327	0.00911	0.007274	0.00695	0.009533	0.00911	0.00547	0.00742	0.0073	0.002324	0.005867	0.007228	0.007064	0.00694	0.006794	0.092	0.00809
52	0.01539	0.001864	0.003576	0.002079	0.00398	0.003642	0.008038	0.002215	0.004812	0.00228	0.00462	0.00169	0.00339	0.01137	0.0143	0.00996	0.007959	0.0076	0.010423	0.00996	0.00606	0.00819	0.00796	0.00252	0.00648	0.007738	0.00757	0.007441	0.007289	0.094	0.00862
53	0.01633	0.002047	0.003884	0.002286	0.004331	0.003957	0.00884	0.002426	0.005198	0.00248	0.00499	0.00185	0.00367	0.01244	0.01543	0.01089	0.008713	0.00832	0.011392	0.01089	0.00671	0.00903	0.00871	0.002738	0.007127	0.008326	0.008156	0.008016	0.007858	0.096	0.00921
54	0.0174	0.002244	0.004203	0.002507	0.004698	0.00431	0.009682	0.00265	0.005591	0.0027	0.00541	0.00203	0.00398	0.01361	0.01665	0.0119	0.009533	0.00911	0.012447	0.0119	0.00742	0.00994	0.00956	0.002982	0.007806	0.008985	0.008813	0.008661	0.008495	0.099	0.00986
55	0.01857	0.002457	0.004534	0.002746	0.005077	0.004705	0.010565	0.002891	0.005994	0.00294	0.00586	0.00223	0.00431	0.01488	0.01798	0.013	0.010423	0.00996	0.013601	0.013	0.00819	0.01093	0.01047	0.003256	0.008519	0.009701	0.009528	0.009361	0.009186	0.101	0.01057
56	0.01989	0.002689	0.004876	0.003003	0.005465	0.005146	0.011491	0.003151	0.006409	0.00321	0.00635	0.00245	0.00468	0.01624	0.01943	0.01421	0.011392	0.01089	0.01487	0.01421	0.00903	0.01202	0.01146	0.003574	0.009262	0.010457	0.010283	0.010102	0.009918	0.103	0.01134
57	0.02134	0.002942	0.005228	0.00328	0.005861	0.00564	0.01246	0.003432	0.006839	0.00351	0.0069	0.00271	0.00509	0.0177	0.021	0.01554	0.012447	0.0119	0.016264	0.01554	0.00994	0.01322	0.01249	0.003948	0.010039	0.011251	0.011073	0.010879	0.010686	0.105	0.01219
58	0.02294	0.003218	0.005593	0.003578	0.006265	0.006193	0.013476	0.003739	0.00729	0.00384	0.00749	0.00299	0.00554	0.01924	0.02271	0.017	0.013601	0.013	0.017788	0.017	0.01093	0.01454	0.01359	0.004388	0.010889	0.012078	0.011892	0.011689	0.011487	0.107	0.01312
59	0.02472	0.003523	0.005988	0.003907	0.006694	0.006812	0.014542	0.004081	0.007782	0.0042	0.00814	0.0033	0.00603	0.02087	0.02457	0.01859	0.01487	0.01421	0.019457	0.01859	0.01202	0.01598	0.01477	0.004901	0.011924	0.012949	0.01275	0.012542	0.012329	0.109	0.01413
60	0.02669	0.003863	0.006428	0.004277	0.00717	0.007504	0.015662	0.004467	0.008338	0.00459	0.00886	0.00365	0.00656	0.02262	0.02659	0.02034	0.016264	0.01554	0.02128	0.02034	0.01322	0.01756	0.01608	0.005489	0.013119	0.013887	0.013674	0.013461	0.013238	0.111	0.01522
61	0.02888	0.004242	0.006933	0.004699	0.007714	0.008278	0.016869	0.004908	0.008983	0.00501	0.00964	0.00403	0.00715	0.02451	0.02878	0.02224	0.017788	0.017	0.023263	0.02224	0.01454	0.01926	0.01754	0.006156	0.01444	0.014904	0.014678	0.01446	0.014226	0.113	0.01639
62	0.03129	0.004668	0.00752	0.005181	0.008348	0.009144	0.018199	0.005413	0.00974	0.00548	0.01049	0.00445	0.0078	0.0266	0.03118	0.02431	0.019457	0.01859	0.025426	0.02431	0.01598	0.0211	0.01919	0.006898	0.015863	0.015997	0.015763	0.015534	0.015288	0.114	0.01764
63	0.03394	0.005144	0.008207	0.005732	0.009093	0.010112	0.019666	0.00599	0.01063	0.00599	0.01143	0.00491	0.00851	0.02886	0.03376	0.02657	0.02128	0.02034	0.027788	0.02657	0.01756	0.02309	0.02106	0.007712	0.017413	0.017176	0.016938	0.016693	0.016431	0.114	0.01897
64	0.03687	0.005671	0.009008	0.006347	0.009968	0.011195	0.021283	0.006633	0.011664	0.00654	0.01246	0.00541	0.00929	0.03131	0.03658	0.02904	0.023263	0.02224	0.030375	0.02904	0.01926	0.02525	0.02314	0.008608	0.019185	0.018452	0.018215	0.017949	0.017669	0.115	0.02038
65	0.04013	0.00625	0.00994	0.007017	0.010993	0.012406	0.023066	0.007336	0.012851	0.00714	0.01358	0.00593	0.01014	0.034	0.03964	0.03175	0.025426	0.02431	0.033221	0.03175	0.0211	0.02761	0.02542	0.009563	0.02126	0.019805	0.019569	0.019281	0.018981	0.115	0.02187
66	0.04371	0.006878	0.011016	0.007734	0.012188	0.013759	0.02503	0.00809	0.014199	0.00778	0.01481	0.00648	0.01107	0.037	0.04296	0.03474	0.027788	0.02657	0.036361	0.03474	0.02309	0.03021	0.02785	0.010565	0.023643	0.021276	0.021042	0.020731	0.020413	0.115	0.02344
67	0.04765	0.007555	0.012251	0.008491	0.013572	0.015272	0.027193	0.008888	0.015717	0.0085	0.01616	0.0071	0.0121	0.04032	0.04656	0.03804	0.030375	0.02904	0.039825	0.03804	0.02525	0.03308	0.03044	0.011621	0.026316	0.022948	0.022715	0.022386	0.022051	0.115	0.02509
68	0.052	0.008287	0.013657	0.009288	0.01516	0.016963	0.029577	0.009731	0.017414	0.00927	0.01763	0.00775	0.01323	0.04401	0.05046	0.04168	0.033221	0.03175	0.043603	0.04168	0.02761	0.03624	0.03319	0.012877	0.029188	0.02487	0.024637	0.024296	0.023947	0.115	0.02682
69	0.05676	0.009102	0.015233	0.010163	0.016946	0.018853	0.032202	0.010653	0.019296	0.01009	0.01925	0.00843	0.01446	0.04803	0.0547	0.04561	0.036361	0.03474	0.047651	0.04561	0.03021	0.03966	0.03617	0.014461	0.032435	0.027027	0.026793	0.026443	0.026083	0.115	0.02863
70	0.06199	0.010034	0.016979	0.011165	0.01892	0.020964	0.035092	0.011697	0.021371	0.011	0.02102	0.00919	0.01581	0.05233	0.0593	0.04979	0.039825	0.03804	0.051914	0.04979	0.03308	0.0433	0.03951	0.016477	0.036106	0.029359	0.029122	0.028766	0.028396	0.115	0.03052
71	0.06767	0.011117	0.018891	0.012339	0.021071	0.023321	0.038272	0.012905	0.023647	0.01202	0.02295	0.01006	0.0173	0.05686	0.06427	0.05415	0.043603	0.04168	0.056337	0.05415	0.03624	0.04709	0.0433	0.019	0.040008	0.031839	0.031598	0.031234	0.030852	0.115	0.03249
