Idade	AT_49_qx	AT_83_qx	AT_2000B_M_qx	AT_2000B_F_qx
0	0.00404	0.00269	0.00231	0.00179
1	0.00158	0.00105	0.00091	0.00076
2	0.00089	0.00059	0.00050	0.00039
3	0.00072	0.00048	0.00041	0.00029
4	0.00063	0.00042	0.00036	0.00023
5	0.00057	0.00038	0.00032	0.00019
6	0.00053	0.00035	0.00030	0.00016
7	0.00050	0.00033	0.00029	0.00013
8	0.00049	0.00035	0.00033	0.00013
9	0.00048	0.00037	0.00036	0.00013
10	0.00048	0.00038	0.00039	0.00014
11	0.00049	0.00039	0.00041	0.00015
12	0.00050	0.00041	0.00043	0.00016
13	0.00051	0.00042	0.00045	0.00017
14	0.00052	0.00043	0.00046	0.00018
15	0.00054	0.00044	0.00047	0.00020
16	0.00055	0.00045	0.00048	0.00021
17	0.00057	0.00046	0.00050	0.00023
18	0.00058	0.00047	0.00051	0.00024
19	0.00060	0.00049	0.00053	0.00026
20	0.00062	0.00051	0.00055	0.00028
21	0.00065	0.00053	0.00057	0.00029
22	0.00067	0.00055	0.00060	0.00031
23	0.00070	0.00057	0.00063	0.00033
24	0.00073	0.00060	0.00066	0.00035
25	0.00077	0.00062	0.00069	0.00037
26	0.00081	0.00065	0.00071	0.00039
27	0.00085	0.00068	0.00074	0.00040
28	0.00090	0.00070	0.00076	0.00042
29	0.00095	0.00073	0.00077	0.00044
30	0.00100	0.00076	0.00078	0.00045
31	0.00107	0.00079	0.00079	0.00046
32	0.00114	0.00081	0.00079	0.00048
33	0.00121	0.00084	0.00079	0.00049
34	0.00130	0.00088	0.00079	0.00050
35	0.00139	0.00092	0.00079	0.00052
36	0.00149	0.00097	0.00079	0.00053
37	0.00161	0.00103	0.00082	0.00056
38	0.00173	0.00111	0.00087	0.00059
39	0.00187	0.00122	0.00095	0.00063
40	0.00203	0.00134	0.00104	0.00068
41	0.00222	0.00149	0.00117	0.00073
42	0.00248	0.00167	0.00132	0.00080
43	0.00280	0.00189	0.00151	0.00087
44	0.00319	0.00213	0.00172	0.00095
45	0.00363	0.00240	0.00195	0.00104
46	0.00412	0.00269	0.00220	0.00115
47	0.00466	0.00301	0.00246	0.00127
48	0.00525	0.00334	0.00274	0.00140
49	0.00588	0.00369	0.00303	0.00155
50	0.00656	0.00406	0.00333	0.00171
51	0.00728	0.00443	0.00365	0.00189
52	0.00804	0.00481	0.00398	0.00208
53	0.00884	0.00520	0.00433	0.00229
54	0.00968	0.00559	0.00470	0.00251
55	0.01057	0.00599	0.00508	0.00275
56	0.01149	0.00641	0.00547	0.00300
57	0.01246	0.00684	0.00586	0.00328
58	0.01348	0.00729	0.00627	0.00358
59	0.01454	0.00778	0.00669	0.00391
60	0.01566	0.00834	0.00717	0.00428
61	0.01687	0.00898	0.00771	0.00470
62	0.01820	0.00974	0.00835	0.00518
63	0.01967	0.01063	0.00909	0.00573
64	0.02128	0.01166	0.00997	0.00635
65	0.02307	0.01285	0.01099	0.00702
66	0.02503	0.01420	0.01219	0.00773
67	0.02719	0.01572	0.01357	0.00849
68	0.02958	0.01741	0.01516	0.00929
69	0.03220	0.01930	0.01695	0.01016
70	0.03509	0.02137	0.01892	0.01117
71	0.03827	0.02365	0.02107	0.01234
72	0.04177	0.02613	0.02339	0.01373
73	0.04562	0.02884	0.02587	0.01539
74	0.04985	0.03179	0.02855	0.01733
75	0.05450	0.03505	0.03148	0.01955
76	0.05961	0.03863	0.03469	0.02208
77	0.06522	0.04259	0.03823	0.02491
78	0.07137	0.04695	0.04213	0.02807
79	0.07811	0.05176	0.04643	0.03161
80	0.08550	0.05703	0.05113	0.03558
81	0.09359	0.06279	0.05625	0.04003
82	0.10244	0.06908	0.06181	0.04502
83	0.11211	0.07591	0.06783	0.05060
84	0.12267	0.08323	0.07432	0.05687
85	0.13418	0.09099	0.08133	0.06391
86	0.14671	0.09912	0.08886	0.07182
87	0.16033	0.10758	0.09696	0.08068
88	0.17512	0.11632	0.10563	0.09056
89	0.19115	0.12539	0.11486	0.10131
90	0.20849	0.13489	0.12461	0.11276
91	0.22719	0.14487	0.13486	0.12473
92	0.24733	0.15543	0.14558	0.13705
93	0.26896	0.16663	0.15673	0.14955
94	0.29212	0.17854	0.16829	0.16208
95	0.31683	0.19121	0.18025	0.17449
96	0.34312	0.20472	0.19257	0.18665
97	0.37097	0.21912	0.20523	0.19840
98	0.40035	0.23474	0.21868	0.21034
99	0.43120	0.25189	0.23337	0.22303
100	0.46342	0.27091	0.24974	0.23705
101	0.49687	0.29211	0.26824	0.25299
102	0.53139	0.31583	0.28931	0.27141
103	0.56676	0.34238	0.31339	0.29289
104	0.60271	0.37209	0.34094	0.31802
105	0.63896	0.40528	0.37240	0.34737
106	0.67514	0.44228	0.40821	0.38152
107	0.71090	0.48341	0.44882	0.42104
108	0.74582	0.52899	0.49468	0.46652
109	1.00000	0.57935	0.54623	0.51852
110	1.00000	0.63481	0.60392	0.57763
111	1.00000	0.69570	0.66819	0.64443
112	1.00000	0.76234	0.73948	0.71948
113	1.00000	0.83506	0.81825	0.80338
114	1.00000	0.91417	0.90495	0.89669
115	1.00000	1.00000	1.00000	1.00000
116	1.00000	1.00000	1.00000	1.00000	
